cv,jd,satisfied
"协助老师和社长管理工作室成员,组织策划安排讲座等各类活动·负责工作室线上公众号的管理与运营,包括推文撰写以及排版等工作",1、协助CEO对外业务往来、日常事务及与公司各部门间的协调与沟通；2、协助CEO起草各类文件，包括各项规章制度、日常合同文件等；3、根据CEO指示，协调联系与相关部门、业务来往有关事宜；4、会根据各人发展方向培养市场、商务或人事方向的人才。,1
"1.协助柜台与客户沟通,接受客户关于存款业务,信用卡办理等业务的咨询2.协助客户办理各项业务;复印资料等一些前期准备工作3.帮助客户解决网银、手机银行、自助终端等的问题",1.协助领导支持各部门工作，统筹公司运营，包括但不限于风险、资本、人力、IT等方面；2.协助领导处理安排日常工作事务，进行工作指令的传达、协助以及事件进展的跟进、反馈；3.组织安排接待事项，为领导安排会客、签约、会议等事项准备工作及相关事宜。2.具备较强的计划性和执行力，良好的人际沟通能力、组织协调能力；3.良好的中英文书面表达，文字组织能力强，有投行分析、文案编辑、发行设计等相关经验优先。,1
"1.协助柜台与客户沟通,接受客户关于存款业务,信用卡办理等业务的咨询2.协助客户办理各项业务;复印资料等一些前期准备工作3.帮助客户解决网银、手机银行、自助终端等的问题",1、协助CEO对外业务往来、日常事务及与公司各部门间的协调与沟通；2、协助CEO起草各类文件，包括各项规章制度、日常合同文件等；3、根据CEO指示，协调联系与相关部门、业务来往有关事宜；4、会根据各人发展方向培养市场、商务或人事方向的人才。,1
"1.进行初步起草的文书工作,在经理的指导下,学习为客户制定交易方案2.通过客户交易数据,选择客户相对喜欢的股票,依据对应特征筛选目标股票3.通过分析每只股票的历史数据,预估股票的动态趋势,结合市场环境,制定购买模拟方案4.负责评估异常信息等级,向公司风险部门递交评估报告,并使用Excel录入整理客户数据,归纳进入历史档案5.为投资经理整理PPT内容,处理相对应的Excel数据表格(使用数据透视,vlookup函数等)",1.协助领导支持各部门工作，统筹公司运营，包括但不限于风险、资本、人力、IT等方面；2.协助领导处理安排日常工作事务，进行工作指令的传达、协助以及事件进展的跟进、反馈；3.组织安排接待事项，为领导安排会客、签约、会议等事项准备工作及相关事宜。2.具备较强的计划性和执行力，良好的人际沟通能力、组织协调能力；3.良好的中英文书面表达，文字组织能力强，有投行分析、文案编辑、发行设计等相关经验优先。,1
"1.进行初步起草的文书工作,在经理的指导下,学习为客户制定交易方案2.通过客户交易数据,选择客户相对喜欢的股票,依据对应特征筛选目标股票3.通过分析每只股票的历史数据,预估股票的动态趋势,结合市场环境,制定购买模拟方案4.负责评估异常信息等级,向公司风险部门递交评估报告,并使用Excel录入整理客户数据,归纳进入历史档案5.为投资经理整理PPT内容,处理相对应的Excel数据表格(使用数据透视,vlookup函数等)",1、协助CEO对外业务往来、日常事务及与公司各部门间的协调与沟通；2、协助CEO起草各类文件，包括各项规章制度、日常合同文件等；3、根据CEO指示，协调联系与相关部门、业务来往有关事宜；4、会根据各人发展方向培养市场、商务或人事方向的人才。,1
"资料收集搜集42家上市公司的募集说明书和全部年份的财务报表,为研究地方政府债务提供数据支持数据整理运用Excel进行数据处理,整理并汇总公司财报中负债信息、资本公积金、长期应付款科目等",1.协助领导支持各部门工作，统筹公司运营，包括但不限于风险、资本、人力、IT等方面；2.协助领导处理安排日常工作事务，进行工作指令的传达、协助以及事件进展的跟进、反馈；3.组织安排接待事项，为领导安排会客、签约、会议等事项准备工作及相关事宜。2.具备较强的计划性和执行力，良好的人际沟通能力、组织协调能力；3.良好的中英文书面表达，文字组织能力强，有投行分析、文案编辑、发行设计等相关经验优先。,1
"资料收集搜集42家上市公司的募集说明书和全部年份的财务报表,为研究地方政府债务提供数据支持数据整理运用Excel进行数据处理,整理并汇总公司财报中负债信息、资本公积金、长期应付款科目等",1、协助CEO对外业务往来、日常事务及与公司各部门间的协调与沟通；2、协助CEO起草各类文件，包括各项规章制度、日常合同文件等；3、根据CEO指示，协调联系与相关部门、业务来往有关事宜；4、会根据各人发展方向培养市场、商务或人事方向的人才。,1
"1.主要学习公司客户评级授信、流动资金贷款管理办法2.了解我行公司业务产品要素,参与产品研发;3.学习并撰写客户综合授信报告,分析企业财务报表,评价企业经营情况,借助大数据分析和决策模型完成客户贷款守信审核;协助客户经理处理投资理财咨询。",1.协助领导支持各部门工作，统筹公司运营，包括但不限于风险、资本、人力、IT等方面；2.协助领导处理安排日常工作事务，进行工作指令的传达、协助以及事件进展的跟进、反馈；3.组织安排接待事项，为领导安排会客、签约、会议等事项准备工作及相关事宜。2.具备较强的计划性和执行力，良好的人际沟通能力、组织协调能力；3.良好的中英文书面表达，文字组织能力强，有投行分析、文案编辑、发行设计等相关经验优先。,1
"1.主要学习公司客户评级授信、流动资金贷款管理办法2.了解我行公司业务产品要素,参与产品研发;3.学习并撰写客户综合授信报告,分析企业财务报表,评价企业经营情况,借助大数据分析和决策模型完成客户贷款守信审核;协助客户经理处理投资理财咨询。",1、协助CEO对外业务往来、日常事务及与公司各部门间的协调与沟通；2、协助CEO起草各类文件，包括各项规章制度、日常合同文件等；3、根据CEO指示，协调联系与相关部门、业务来往有关事宜；4、会根据各人发展方向培养市场、商务或人事方向的人才。,1
"协助上级参与全面资金调配工作,完善财物管理体系;保证记账凭证合规性,进行日常报帐、算账管理工作;曾独立负责两个项目,包含:常规发票的开具、月度纳税申报、账目管理、编制月度会计报表等。负责制作管理层月度经营例会PPT;进行应收应付款项相关数据分析和PPT资料编制",1.协助领导支持各部门工作，统筹公司运营，包括但不限于风险、资本、人力、IT等方面；2.协助领导处理安排日常工作事务，进行工作指令的传达、协助以及事件进展的跟进、反馈；3.组织安排接待事项，为领导安排会客、签约、会议等事项准备工作及相关事宜。2.具备较强的计划性和执行力，良好的人际沟通能力、组织协调能力；3.良好的中英文书面表达，文字组织能力强，有投行分析、文案编辑、发行设计等相关经验优先。,1
"协助上级参与全面资金调配工作,完善财物管理体系;保证记账凭证合规性,进行日常报帐、算账管理工作;曾独立负责两个项目,包含:常规发票的开具、月度纳税申报、账目管理、编制月度会计报表等。负责制作管理层月度经营例会PPT;进行应收应付款项相关数据分析和PPT资料编制",1、协助CEO对外业务往来、日常事务及与公司各部门间的协调与沟通；2、协助CEO起草各类文件，包括各项规章制度、日常合同文件等；3、根据CEO指示，协调联系与相关部门、业务来往有关事宜；4、会根据各人发展方向培养市场、商务或人事方向的人才。,1
"负责国际时事热点及港股数据的跟踪,完成日常的港股收市点评,并简要总结各板块的涨跌逻辑负责每周港股策略报告的撰写以及通过Wind、Bloomberg对相关数据进行更新,主要包括的内容有新股上市跟踪、市场基本表现、宏观流动性、估值水平、资金流向、投资者情绪等,并对各板块进行展开描述负责知乎话题的回答,撰写文章负责基础数据的搜集工作,其中包括粤港澳大湾区金融发展政策数据的搜集;港股年度展望报告中对餐饮、航空、旅游行业等中观数据的搜集;专题报告中对富途、老虎证券美股招股说明书(累计600+页)中经营财务等数据的搜集等中概股回港二次上市的背景下,2月份参与快手以及哔哩哔哩的投资价值研究报告的撰写以及参与百度智能驾驶业务的研究",1.负责公司关注方向的研究分析，包括目标方向的背景、政策、市场、格局、技术、岗位、趋势等，使用爬虫工具收集相关数据，并进行数据分析，形成完整的研究报告；2.负责完善行业研究分析体系，建立和完善行业信息收集渠道，配合技术部门构建公司行业研究数据库，完成数据沉淀；3.梳理行业研究工作流程，完善行业研究自动化方案，辅助行业研究方法论积累及自动化建设；4.定期向上级汇报所负责研究项目的进度，提出项目存在的问题、建议及所需要的支持。2.具有基础的数据分析、数据处理能力及数据可视化能力，具有良好的逻辑思维与沟通能力，具有广阔的战略视角和战略思考力；3.条理清晰，具有较强的研究分析能力、信息搜集能力和数据敏感度，文字能力较强，有较强的执行力，责任感强，能按计划完成任务；,1
"负责国际时事热点及港股数据的跟踪,完成日常的港股收市点评,并简要总结各板块的涨跌逻辑负责每周港股策略报告的撰写以及通过Wind、Bloomberg对相关数据进行更新,主要包括的内容有新股上市跟踪、市场基本表现、宏观流动性、估值水平、资金流向、投资者情绪等,并对各板块进行展开描述负责知乎话题的回答,撰写文章负责基础数据的搜集工作,其中包括粤港澳大湾区金融发展政策数据的搜集;港股年度展望报告中对餐饮、航空、旅游行业等中观数据的搜集;专题报告中对富途、老虎证券美股招股说明书(累计600+页)中经营财务等数据的搜集等中概股回港二次上市的背景下,2月份参与快手以及哔哩哔哩的投资价值研究报告的撰写以及参与百度智能驾驶业务的研究",1、行业数据库整理和比较分析；2、协助搜集、分析、整合行业相关数据资料；3、在研究员指导下参与公司深度报告及行业专题报告的撰写。认真细致，公司注重细节和微观数据；,1
"负责国际时事热点及港股数据的跟踪,完成日常的港股收市点评,并简要总结各板块的涨跌逻辑负责每周港股策略报告的撰写以及通过Wind、Bloomberg对相关数据进行更新,主要包括的内容有新股上市跟踪、市场基本表现、宏观流动性、估值水平、资金流向、投资者情绪等,并对各板块进行展开描述负责知乎话题的回答,撰写文章负责基础数据的搜集工作,其中包括粤港澳大湾区金融发展政策数据的搜集;港股年度展望报告中对餐饮、航空、旅游行业等中观数据的搜集;专题报告中对富途、老虎证券美股招股说明书(累计600+页)中经营财务等数据的搜集等中概股回港二次上市的背景下,2月份参与快手以及哔哩哔哩的投资价值研究报告的撰写以及参与百度智能驾驶业务的研究",1.收集行业信息，针对性的进行调研、访谈和统计整理；2.对创业项目的产品业务、运营数据、商业模式以及市场情况等进行深入分析；3.协助投资人进行投资可行性分析、项目尽职调查及投资材料准备工作；信息收集和数据整理能力强，财务基础功扎实，研究能力强，熟练使用英语查看并分析上市公司财报,1
"负责国际时事热点及港股数据的跟踪,完成日常的港股收市点评,并简要总结各板块的涨跌逻辑负责每周港股策略报告的撰写以及通过Wind、Bloomberg对相关数据进行更新,主要包括的内容有新股上市跟踪、市场基本表现、宏观流动性、估值水平、资金流向、投资者情绪等,并对各板块进行展开描述负责知乎话题的回答,撰写文章负责基础数据的搜集工作,其中包括粤港澳大湾区金融发展政策数据的搜集;港股年度展望报告中对餐饮、航空、旅游行业等中观数据的搜集;专题报告中对富途、老虎证券美股招股说明书(累计600+页)中经营财务等数据的搜集等中概股回港二次上市的背景下,2月份参与快手以及哔哩哔哩的投资价值研究报告的撰写以及参与百度智能驾驶业务的研究",1、协助搜集、分析、整合行业相关数据资料；2、在研究员指导下参与公司深度报告及行业专题报告的撰写；3、可参与上市公司调研和行业重要会议，撰写调研、会议等活动的相关报告。,1
"负责国际时事热点及港股数据的跟踪,完成日常的港股收市点评,并简要总结各板块的涨跌逻辑负责每周港股策略报告的撰写以及通过Wind、Bloomberg对相关数据进行更新,主要包括的内容有新股上市跟踪、市场基本表现、宏观流动性、估值水平、资金流向、投资者情绪等,并对各板块进行展开描述负责知乎话题的回答,撰写文章负责基础数据的搜集工作,其中包括粤港澳大湾区金融发展政策数据的搜集;港股年度展望报告中对餐饮、航空、旅游行业等中观数据的搜集;专题报告中对富途、老虎证券美股招股说明书(累计600+页)中经营财务等数据的搜集等中概股回港二次上市的背景下,2月份参与快手以及哔哩哔哩的投资价值研究报告的撰写以及参与百度智能驾驶业务的研究",1、协助分析师进行研究报告撰写工作；2、协助分析师进行数据收集、整理、分析等搭建数据库；3、独立撰写行业深度报告或公司深度报告研究基本功扎实，擅长收集、整理、分析信息,1
"负责国际时事热点及港股数据的跟踪,完成日常的港股收市点评,并简要总结各板块的涨跌逻辑负责每周港股策略报告的撰写以及通过Wind、Bloomberg对相关数据进行更新,主要包括的内容有新股上市跟踪、市场基本表现、宏观流动性、估值水平、资金流向、投资者情绪等,并对各板块进行展开描述负责知乎话题的回答,撰写文章负责基础数据的搜集工作,其中包括粤港澳大湾区金融发展政策数据的搜集;港股年度展望报告中对餐饮、航空、旅游行业等中观数据的搜集;专题报告中对富途、老虎证券美股招股说明书(累计600+页)中经营财务等数据的搜集等中概股回港二次上市的背景下,2月份参与快手以及哔哩哔哩的投资价值研究报告的撰写以及参与百度智能驾驶业务的研究",1、存量行研报告撰写；2、对已审核的行研报告转成PPT形式；3、企业宣传会议的策划与组织；4、协助其他部门完成必要数据的搜索。,1
"负责协助投资经理对投资项目进行调查,分析和评估。并参与撰写尽职调查报告;共计参与了包括在线教育,精酿啤酒,宠物鲜粮在内的十余个行业的行业研究,并协助公司制定行业研究报告负责早期的DealSourcing工作,对预备项目的行业赛道及竞争企业进行早期调研,数据搜集及分析,给出投资意见参与某市值30亿人民币的政府引导基金的建立以及管理运营工作,与被投企业展开沟通,了解被投企业的相关运营情况,及时找出被投企业运营中的相关问题,并协助进行",1.负责公司关注方向的研究分析，包括目标方向的背景、政策、市场、格局、技术、岗位、趋势等，使用爬虫工具收集相关数据，并进行数据分析，形成完整的研究报告；2.负责完善行业研究分析体系，建立和完善行业信息收集渠道，配合技术部门构建公司行业研究数据库，完成数据沉淀；3.梳理行业研究工作流程，完善行业研究自动化方案，辅助行业研究方法论积累及自动化建设；4.定期向上级汇报所负责研究项目的进度，提出项目存在的问题、建议及所需要的支持。2.具有基础的数据分析、数据处理能力及数据可视化能力，具有良好的逻辑思维与沟通能力，具有广阔的战略视角和战略思考力；3.条理清晰，具有较强的研究分析能力、信息搜集能力和数据敏感度，文字能力较强，有较强的执行力，责任感强，能按计划完成任务；,1
"负责协助投资经理对投资项目进行调查,分析和评估。并参与撰写尽职调查报告;共计参与了包括在线教育,精酿啤酒,宠物鲜粮在内的十余个行业的行业研究,并协助公司制定行业研究报告负责早期的DealSourcing工作,对预备项目的行业赛道及竞争企业进行早期调研,数据搜集及分析,给出投资意见参与某市值30亿人民币的政府引导基金的建立以及管理运营工作,与被投企业展开沟通,了解被投企业的相关运营情况,及时找出被投企业运营中的相关问题,并协助进行",1、行业数据库整理和比较分析；2、协助搜集、分析、整合行业相关数据资料；3、在研究员指导下参与公司深度报告及行业专题报告的撰写。认真细致，公司注重细节和微观数据；,1
"负责协助投资经理对投资项目进行调查,分析和评估。并参与撰写尽职调查报告;共计参与了包括在线教育,精酿啤酒,宠物鲜粮在内的十余个行业的行业研究,并协助公司制定行业研究报告负责早期的DealSourcing工作,对预备项目的行业赛道及竞争企业进行早期调研,数据搜集及分析,给出投资意见参与某市值30亿人民币的政府引导基金的建立以及管理运营工作,与被投企业展开沟通,了解被投企业的相关运营情况,及时找出被投企业运营中的相关问题,并协助进行",1.收集行业信息，针对性的进行调研、访谈和统计整理；2.对创业项目的产品业务、运营数据、商业模式以及市场情况等进行深入分析；3.协助投资人进行投资可行性分析、项目尽职调查及投资材料准备工作；信息收集和数据整理能力强，财务基础功扎实，研究能力强，熟练使用英语查看并分析上市公司财报,1
"负责协助投资经理对投资项目进行调查,分析和评估。并参与撰写尽职调查报告;共计参与了包括在线教育,精酿啤酒,宠物鲜粮在内的十余个行业的行业研究,并协助公司制定行业研究报告负责早期的DealSourcing工作,对预备项目的行业赛道及竞争企业进行早期调研,数据搜集及分析,给出投资意见参与某市值30亿人民币的政府引导基金的建立以及管理运营工作,与被投企业展开沟通,了解被投企业的相关运营情况,及时找出被投企业运营中的相关问题,并协助进行",1、协助搜集、分析、整合行业相关数据资料；2、在研究员指导下参与公司深度报告及行业专题报告的撰写；3、可参与上市公司调研和行业重要会议，撰写调研、会议等活动的相关报告。,1
"负责协助投资经理对投资项目进行调查,分析和评估。并参与撰写尽职调查报告;共计参与了包括在线教育,精酿啤酒,宠物鲜粮在内的十余个行业的行业研究,并协助公司制定行业研究报告负责早期的DealSourcing工作,对预备项目的行业赛道及竞争企业进行早期调研,数据搜集及分析,给出投资意见参与某市值30亿人民币的政府引导基金的建立以及管理运营工作,与被投企业展开沟通,了解被投企业的相关运营情况,及时找出被投企业运营中的相关问题,并协助进行",1、协助分析师进行研究报告撰写工作；2、协助分析师进行数据收集、整理、分析等搭建数据库；3、独立撰写行业深度报告或公司深度报告研究基本功扎实，擅长收集、整理、分析信息,1
"负责协助投资经理对投资项目进行调查,分析和评估。并参与撰写尽职调查报告;共计参与了包括在线教育,精酿啤酒,宠物鲜粮在内的十余个行业的行业研究,并协助公司制定行业研究报告负责早期的DealSourcing工作,对预备项目的行业赛道及竞争企业进行早期调研,数据搜集及分析,给出投资意见参与某市值30亿人民币的政府引导基金的建立以及管理运营工作,与被投企业展开沟通,了解被投企业的相关运营情况,及时找出被投企业运营中的相关问题,并协助进行",1、存量行研报告撰写；2、对已审核的行研报告转成PPT形式；3、企业宣传会议的策划与组织；4、协助其他部门完成必要数据的搜索。,1
"MSOffice(熟练);Python(熟练);图文排版(熟练);Wind(熟练);Bloomberg(熟练);MATLAB(熟悉),,""专家访谈:根据客户资料参与并整理专家访谈,理解客户业务模式与应用场景,涉及医药、车后B2B、招投标平台、AISaaS、电商及消费品等10个行业,开展相关领域研究并理解研究方法与营收逻辑,为研究阶段性报告准备材料01桌面研究:整理专家访谈内容撰写标准化Notes,根据收集的数据分析市场数据、标杆企业及竞争对手信息,搜集专业术语相关基础性知识,分析客户细分市场、产品定位及商业模式等,共计完成20+篇Notes,25+篇初期报告",1.负责公司关注方向的研究分析，包括目标方向的背景、政策、市场、格局、技术、岗位、趋势等，使用爬虫工具收集相关数据，并进行数据分析，形成完整的研究报告；2.负责完善行业研究分析体系，建立和完善行业信息收集渠道，配合技术部门构建公司行业研究数据库，完成数据沉淀；3.梳理行业研究工作流程，完善行业研究自动化方案，辅助行业研究方法论积累及自动化建设；4.定期向上级汇报所负责研究项目的进度，提出项目存在的问题、建议及所需要的支持。2.具有基础的数据分析、数据处理能力及数据可视化能力，具有良好的逻辑思维与沟通能力，具有广阔的战略视角和战略思考力；3.条理清晰，具有较强的研究分析能力、信息搜集能力和数据敏感度，文字能力较强，有较强的执行力，责任感强，能按计划完成任务；,1
"MSOffice(熟练);Python(熟练);图文排版(熟练);Wind(熟练);Bloomberg(熟练);MATLAB(熟悉),,""专家访谈:根据客户资料参与并整理专家访谈,理解客户业务模式与应用场景,涉及医药、车后B2B、招投标平台、AISaaS、电商及消费品等10个行业,开展相关领域研究并理解研究方法与营收逻辑,为研究阶段性报告准备材料01桌面研究:整理专家访谈内容撰写标准化Notes,根据收集的数据分析市场数据、标杆企业及竞争对手信息,搜集专业术语相关基础性知识,分析客户细分市场、产品定位及商业模式等,共计完成20+篇Notes,25+篇初期报告",1、行业数据库整理和比较分析；2、协助搜集、分析、整合行业相关数据资料；3、在研究员指导下参与公司深度报告及行业专题报告的撰写。认真细致，公司注重细节和微观数据；,1
"MSOffice(熟练);Python(熟练);图文排版(熟练);Wind(熟练);Bloomberg(熟练);MATLAB(熟悉),,""专家访谈:根据客户资料参与并整理专家访谈,理解客户业务模式与应用场景,涉及医药、车后B2B、招投标平台、AISaaS、电商及消费品等10个行业,开展相关领域研究并理解研究方法与营收逻辑,为研究阶段性报告准备材料01桌面研究:整理专家访谈内容撰写标准化Notes,根据收集的数据分析市场数据、标杆企业及竞争对手信息,搜集专业术语相关基础性知识,分析客户细分市场、产品定位及商业模式等,共计完成20+篇Notes,25+篇初期报告",1.收集行业信息，针对性的进行调研、访谈和统计整理；2.对创业项目的产品业务、运营数据、商业模式以及市场情况等进行深入分析；3.协助投资人进行投资可行性分析、项目尽职调查及投资材料准备工作；信息收集和数据整理能力强，财务基础功扎实，研究能力强，熟练使用英语查看并分析上市公司财报,1
"MSOffice(熟练);Python(熟练);图文排版(熟练);Wind(熟练);Bloomberg(熟练);MATLAB(熟悉),,""专家访谈:根据客户资料参与并整理专家访谈,理解客户业务模式与应用场景,涉及医药、车后B2B、招投标平台、AISaaS、电商及消费品等10个行业,开展相关领域研究并理解研究方法与营收逻辑,为研究阶段性报告准备材料01桌面研究:整理专家访谈内容撰写标准化Notes,根据收集的数据分析市场数据、标杆企业及竞争对手信息,搜集专业术语相关基础性知识,分析客户细分市场、产品定位及商业模式等,共计完成20+篇Notes,25+篇初期报告",1、协助搜集、分析、整合行业相关数据资料；2、在研究员指导下参与公司深度报告及行业专题报告的撰写；3、可参与上市公司调研和行业重要会议，撰写调研、会议等活动的相关报告。,1
"MSOffice(熟练);Python(熟练);图文排版(熟练);Wind(熟练);Bloomberg(熟练);MATLAB(熟悉),,""专家访谈:根据客户资料参与并整理专家访谈,理解客户业务模式与应用场景,涉及医药、车后B2B、招投标平台、AISaaS、电商及消费品等10个行业,开展相关领域研究并理解研究方法与营收逻辑,为研究阶段性报告准备材料01桌面研究:整理专家访谈内容撰写标准化Notes,根据收集的数据分析市场数据、标杆企业及竞争对手信息,搜集专业术语相关基础性知识,分析客户细分市场、产品定位及商业模式等,共计完成20+篇Notes,25+篇初期报告",1、协助分析师进行研究报告撰写工作；2、协助分析师进行数据收集、整理、分析等搭建数据库；3、独立撰写行业深度报告或公司深度报告研究基本功扎实，擅长收集、整理、分析信息,1
"MSOffice(熟练);Python(熟练);图文排版(熟练);Wind(熟练);Bloomberg(熟练);MATLAB(熟悉),,""专家访谈:根据客户资料参与并整理专家访谈,理解客户业务模式与应用场景,涉及医药、车后B2B、招投标平台、AISaaS、电商及消费品等10个行业,开展相关领域研究并理解研究方法与营收逻辑,为研究阶段性报告准备材料01桌面研究:整理专家访谈内容撰写标准化Notes,根据收集的数据分析市场数据、标杆企业及竞争对手信息,搜集专业术语相关基础性知识,分析客户细分市场、产品定位及商业模式等,共计完成20+篇Notes,25+篇初期报告",1、存量行研报告撰写；2、对已审核的行研报告转成PPT形式；3、企业宣传会议的策划与组织；4、协助其他部门完成必要数据的搜索。,1
"数据分析:收集四川省内各分公司财险类业务数据,根据规定报告完成分渠道数据整理,分析公司财险各类的销售表现,据此对各市财险类各渠道业务进行动态监测与评估,生成分析报告(PPT)等成果文件并完成初步分析报告撰写:根据各财产保险设计原理及特点,结合我国社保基本医疗政策与成都市具体实施准则,针对不同客户的需求针对保险类产品进行“医疗、意外、重疾”相关健康险的理财规划报告,完成初步报告5+篇",1.负责公司关注方向的研究分析，包括目标方向的背景、政策、市场、格局、技术、岗位、趋势等，使用爬虫工具收集相关数据，并进行数据分析，形成完整的研究报告；2.负责完善行业研究分析体系，建立和完善行业信息收集渠道，配合技术部门构建公司行业研究数据库，完成数据沉淀；3.梳理行业研究工作流程，完善行业研究自动化方案，辅助行业研究方法论积累及自动化建设；4.定期向上级汇报所负责研究项目的进度，提出项目存在的问题、建议及所需要的支持。2.具有基础的数据分析、数据处理能力及数据可视化能力，具有良好的逻辑思维与沟通能力，具有广阔的战略视角和战略思考力；3.条理清晰，具有较强的研究分析能力、信息搜集能力和数据敏感度，文字能力较强，有较强的执行力，责任感强，能按计划完成任务；,1
"数据分析:收集四川省内各分公司财险类业务数据,根据规定报告完成分渠道数据整理,分析公司财险各类的销售表现,据此对各市财险类各渠道业务进行动态监测与评估,生成分析报告(PPT)等成果文件并完成初步分析报告撰写:根据各财产保险设计原理及特点,结合我国社保基本医疗政策与成都市具体实施准则,针对不同客户的需求针对保险类产品进行“医疗、意外、重疾”相关健康险的理财规划报告,完成初步报告5+篇",1、行业数据库整理和比较分析；2、协助搜集、分析、整合行业相关数据资料；3、在研究员指导下参与公司深度报告及行业专题报告的撰写。认真细致，公司注重细节和微观数据；,1
"数据分析:收集四川省内各分公司财险类业务数据,根据规定报告完成分渠道数据整理,分析公司财险各类的销售表现,据此对各市财险类各渠道业务进行动态监测与评估,生成分析报告(PPT)等成果文件并完成初步分析报告撰写:根据各财产保险设计原理及特点,结合我国社保基本医疗政策与成都市具体实施准则,针对不同客户的需求针对保险类产品进行“医疗、意外、重疾”相关健康险的理财规划报告,完成初步报告5+篇",1.收集行业信息，针对性的进行调研、访谈和统计整理；2.对创业项目的产品业务、运营数据、商业模式以及市场情况等进行深入分析；3.协助投资人进行投资可行性分析、项目尽职调查及投资材料准备工作；信息收集和数据整理能力强，财务基础功扎实，研究能力强，熟练使用英语查看并分析上市公司财报,1
"数据分析:收集四川省内各分公司财险类业务数据,根据规定报告完成分渠道数据整理,分析公司财险各类的销售表现,据此对各市财险类各渠道业务进行动态监测与评估,生成分析报告(PPT)等成果文件并完成初步分析报告撰写:根据各财产保险设计原理及特点,结合我国社保基本医疗政策与成都市具体实施准则,针对不同客户的需求针对保险类产品进行“医疗、意外、重疾”相关健康险的理财规划报告,完成初步报告5+篇",1、协助搜集、分析、整合行业相关数据资料；2、在研究员指导下参与公司深度报告及行业专题报告的撰写；3、可参与上市公司调研和行业重要会议，撰写调研、会议等活动的相关报告。,1
"数据分析:收集四川省内各分公司财险类业务数据,根据规定报告完成分渠道数据整理,分析公司财险各类的销售表现,据此对各市财险类各渠道业务进行动态监测与评估,生成分析报告(PPT)等成果文件并完成初步分析报告撰写:根据各财产保险设计原理及特点,结合我国社保基本医疗政策与成都市具体实施准则,针对不同客户的需求针对保险类产品进行“医疗、意外、重疾”相关健康险的理财规划报告,完成初步报告5+篇",1、协助分析师进行研究报告撰写工作；2、协助分析师进行数据收集、整理、分析等搭建数据库；3、独立撰写行业深度报告或公司深度报告研究基本功扎实，擅长收集、整理、分析信息,1
"数据分析:收集四川省内各分公司财险类业务数据,根据规定报告完成分渠道数据整理,分析公司财险各类的销售表现,据此对各市财险类各渠道业务进行动态监测与评估,生成分析报告(PPT)等成果文件并完成初步分析报告撰写:根据各财产保险设计原理及特点,结合我国社保基本医疗政策与成都市具体实施准则,针对不同客户的需求针对保险类产品进行“医疗、意外、重疾”相关健康险的理财规划报告,完成初步报告5+篇",1、存量行研报告撰写；2、对已审核的行研报告转成PPT形式；3、企业宣传会议的策划与组织；4、协助其他部门完成必要数据的搜索。,1
"协助完成TAMP海外专题研究报告及TAMP国内专题研究报告,负责整理海内外开展相关业务的公司,并分析其业务模式;搜集需求方资料,研究用户痛点和行业底层逻辑。公司分析报告:协助完成同花顺公司报告,负责参考同花顺经营模式,撰写高层访谈提问;并整理年报数据,结合同花顺的业务模式计算相关的指标,如获客成本、行业内技术投入占比、收入预测等。其他:参考金融壹账通财务情况和战略发展方向,准备反路演提问;参与六期金融科技行业周报撰写,负责梳理业内公司的主要大事记,投融资情况整理等;完成金融机构治理论文的证券建议部分",1.负责公司关注方向的研究分析，包括目标方向的背景、政策、市场、格局、技术、岗位、趋势等，使用爬虫工具收集相关数据，并进行数据分析，形成完整的研究报告；2.负责完善行业研究分析体系，建立和完善行业信息收集渠道，配合技术部门构建公司行业研究数据库，完成数据沉淀；3.梳理行业研究工作流程，完善行业研究自动化方案，辅助行业研究方法论积累及自动化建设；4.定期向上级汇报所负责研究项目的进度，提出项目存在的问题、建议及所需要的支持。2.具有基础的数据分析、数据处理能力及数据可视化能力，具有良好的逻辑思维与沟通能力，具有广阔的战略视角和战略思考力；3.条理清晰，具有较强的研究分析能力、信息搜集能力和数据敏感度，文字能力较强，有较强的执行力，责任感强，能按计划完成任务；,1
"协助完成TAMP海外专题研究报告及TAMP国内专题研究报告,负责整理海内外开展相关业务的公司,并分析其业务模式;搜集需求方资料,研究用户痛点和行业底层逻辑。公司分析报告:协助完成同花顺公司报告,负责参考同花顺经营模式,撰写高层访谈提问;并整理年报数据,结合同花顺的业务模式计算相关的指标,如获客成本、行业内技术投入占比、收入预测等。其他:参考金融壹账通财务情况和战略发展方向,准备反路演提问;参与六期金融科技行业周报撰写,负责梳理业内公司的主要大事记,投融资情况整理等;完成金融机构治理论文的证券建议部分",1、行业数据库整理和比较分析；2、协助搜集、分析、整合行业相关数据资料；3、在研究员指导下参与公司深度报告及行业专题报告的撰写。认真细致，公司注重细节和微观数据；,1
